;Joep;Joris;Jordy;Max;Charlotte;Evie;Willemijn;Job;Nynke;Britt;Tim;Ashwin;Cyrille;Gijs;Dennis;Kris;Sana;Diana;Lau;Badr;Luc;
MEX-ZAF;1-0;2-1;2-0;2-1;2-1;3-0;3-1;2-1;2-0;3-1;2-0;3-1;2-0;3-0;3-1;2-0;2-0;2-1;1-0;1-1;2-1;
ZKO-CZE;1-0;1-1;0-1;0-2;1-0;1-2;0-2;0-1;1-2;1-1;0-2;1-1;0-1;1-1;1-2;0-1;1-1;1-1;0-2;1-2;1-1;
CAN-BOS;1-0;2-0;3-0;2-1;3-2;2-1;1-1;0-1;0-2;2-0;2-3;1-0;1-2;1-0;3-1;2-2;1-1;2-1;1-0;2-1;2-2;
USA-PAR;1-0;0-1;1-1;2-1;3-2;2-1;1-0;1-0;2-0;1-0;1-0;2-0;2-1;2-0;2-1;2-1;0-2;0-0;1-2;1-1;2-1;
QAT-SUI;0-2;0-2;0-2;0-2;1-2;0-2;0-3;1-3;1-1;1-1;0-3;0-2;0-2;0-3;1-2;0-2;2-1;0-2;1-2;0-2;0-2;
BRA-MAR;1-0;2-1;2-1;2-1;4-2;2-1;1-2;2-0;3-2;1-2;1-2;3-1;2-2;1-0;3-1;1-1;2-2;3-1;3-1;1-2;1-2;
HAI-SCO;0-1;0-3;0-1;0-2;1-2;0-1;0-4;0-1;1-2;0-3;0-3;0-1;0-2;0-4;1-2;1-1;1-2;0-2;1-2;0-2;0-3;
AUS-TUR;0-1;0-2;1-2;1-2;1-1;1-2;1-3;0-1;2-2;0-2;0-3;1-2;1-1;0-2;1-2;1-2;1-2;0-2;1-1;1-2;1-2;
GER-CUW;3-0;6-0;3-0;4-0;3-1;4-1;3-0;3-1;5-0;3-0;0-1;3-1;6-0;6-0;5-1;4-0;3-0;3-0;4-0;5-1;4-1;
NED-JAP;1-0;1-0;1-0;1-1;2-4;3-1;3-1;0-1;2-1;1-2;3-2;1-1;1-3;0-2;2-1;1-1;2-1;1-0;2-1;2-1;2-1;
